o1,o1.cpus,o1.min_memory,o1.priority,o1.command,o1.state,o1.work_dir,o2,o2.cpu_load,o2.free_mem,o2.cpu,o2.state,e1
59913226,1,2G,,run_pythia8_rivet.sh,RUNNING,/rwthfs/rz/cluster/work/ng762505/ttXX/stable_tt/5FS/ttbb_pythia,host_n23m0399,62.71,231985,96,"""alloc""",start-59913226-1
59913657,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0181,57.94,180528,96,"""mix""",submit-59913657-0
59913657,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0181,57.94,180528,96,"""mix""",start-59913657-1
59912422,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0029,10.43,495057,96,"""alloc""",ending-_59912422-0
59912422,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0029,10.43,495057,96,"""alloc""",cancelled-_59912422-0
59912422,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0029,10.43,495057,96,"""alloc""",submit-59912422-0
59912422,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_r23m0029,10.43,495057,96,"""alloc""",start-59912422-1
59912938,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0024,62.38,223283,96,"""mix""",submit-59912938-0
59912938,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0024,62.38,223283,96,"""mix""",start-59912938-1
59912938,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0024,62.38,223283,96,"""mix""",ending-_59912938-0
59911947,96,2539M,,submission.sh,RUNNING,/rwthfs/rz/cluster/hpcwork/jara0052/MCProduction/TarballsJara/1753964509,host_n23m0291,96.34,180768,96,"""alloc""",submit-59911947-0
59911947,96,2539M,,submission.sh,RUNNING,/rwthfs/rz/cluster/hpcwork/jara0052/MCProduction/TarballsJara/1753964509,host_n23m0291,96.34,180768,96,"""alloc""",start-59911947-1
59904635,10,55G,,submission_file_5ba62685c3b84a168238680d923bdef8.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_n23m0152,92.2,486659,96,"""alloc""",start-59904635-1
59904635,10,55G,,submission_file_5ba62685c3b84a168238680d923bdef8.sh,RUNNING,/rwthfs/rz/cluster/home/ni574034,host_n23m0152,92.2,486659,96,"""alloc""",submit-59904635-0
59913774,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0074,96.1,459940,96,"""alloc""",submit-59913774-0
59913774,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0074,96.1,459940,96,"""alloc""",start-59913774-1
59642143,96,2540M,,run.sh,RUNNING,/rwthfs/rz/cluster/home/nv626064/rwth/_Pauline_/CrAlN/opt_2x2x2/Cr15Al15N32/barriers/N_35-N_37,host_r23m0145,96.38,176534,96,"""alloc""",submit-59642143-0
59642143,96,2540M,,run.sh,RUNNING,/rwthfs/rz/cluster/home/nv626064/rwth/_Pauline_/CrAlN/opt_2x2x2/Cr15Al15N32/barriers/N_35-N_37,host_r23m0145,96.38,176534,96,"""alloc""",start-59642143-1
59913298,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_r23m0175,95.26,481218,96,"""alloc""",submit-59913298-0
59913298,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_r23m0175,95.26,481218,96,"""alloc""",failed-_59913298-0
59913298,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_r23m0175,95.26,481218,96,"""alloc""",start-59913298-1
59911488,16,2100M,,Weld_Thin_Plt_Sym.sh,RUNNING,/rwthfs/rz/cluster/home/xr756100/Bhatia/Core_Ring_Sym,host_n23m0360,55.57,401445,96,"""alloc""",start-59911488-1
59911488,16,2100M,,Weld_Thin_Plt_Sym.sh,RUNNING,/rwthfs/rz/cluster/home/xr756100/Bhatia/Core_Ring_Sym,host_n23m0360,55.57,401445,96,"""alloc""",cancelled-_59911488-0
59911488,16,2100M,,Weld_Thin_Plt_Sym.sh,RUNNING,/rwthfs/rz/cluster/home/xr756100/Bhatia/Core_Ring_Sym,host_n23m0360,55.57,401445,96,"""alloc""",ending-_59911488-0
59911488,16,2100M,,Weld_Thin_Plt_Sym.sh,RUNNING,/rwthfs/rz/cluster/home/xr756100/Bhatia/Core_Ring_Sym,host_n23m0360,55.57,401445,96,"""alloc""",submit-59911488-0
59913458,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0307,10.6,247942,96,"""mix""",start-59913458-1
59913458,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0307,10.6,247942,96,"""mix""",submit-59913458-0
